2026-05-07T14:30:21.402538 update_cores memcached [0]
2026-05-07T14:30:21.458542 update_cores freqmine [1,2,3]
2026-05-07T14:30:23.480293 update_cores memcached [0,1]
2026-05-07T14:30:23.550927 update_cores freqmine [2,3]
2026-05-07T14:30:24.357667 update_cores memcached [0]
2026-05-07T14:30:24.412904 update_cores freqmine [1,2,3]
2026-05-07T14:30:40.188780 update_cores memcached [0,1]
2026-05-07T14:30:40.280213 update_cores freqmine [2,3]
2026-05-07T14:30:40.687015 update_cores memcached [0,1,2]
2026-05-07T14:30:40.782847 update_cores freqmine [3]
2026-05-07T14:31:25.601056 update_cores memcached [0,1]
2026-05-07T14:31:25.659070 update_cores freqmine [2,3]
2026-05-07T14:31:26.063877 update_cores memcached [0]
2026-05-07T14:31:26.124131 update_cores freqmine [1,2,3]
2026-05-07T14:31:27.334360 update_cores memcached [0,1]
2026-05-07T14:31:27.409196 update_cores freqmine [2,3]
2026-05-07T14:31:27.814586 update_cores memcached [0,1,2]
2026-05-07T14:31:27.871823 update_cores freqmine [3]
2026-05-07T14:31:29.485647 update_cores memcached [0,1]
2026-05-07T14:31:29.536530 update_cores freqmine [2,3]
2026-05-07T14:31:29.941006 update_cores memcached [0]
2026-05-07T14:31:29.999860 update_cores freqmine [1,2,3]
2026-05-07T14:31:31.213367 update_cores memcached [0,1]
2026-05-07T14:31:31.300653 update_cores freqmine [2,3]
2026-05-07T14:31:31.707545 update_cores memcached [0,1,2]
2026-05-07T14:31:31.762910 update_cores freqmine [3]
2026-05-07T14:31:33.376339 update_cores memcached [0,1]
2026-05-07T14:31:33.426270 update_cores freqmine [2,3]
2026-05-07T14:31:33.831437 update_cores memcached [0]
2026-05-07T14:31:33.919921 update_cores freqmine [1,2,3]
2026-05-07T14:31:35.135875 update_cores memcached [0,1]
2026-05-07T14:31:35.208326 update_cores freqmine [2,3]
2026-05-07T14:31:35.613561 update_cores memcached [0,1,2]
2026-05-07T14:31:35.670172 update_cores freqmine [3]
2026-05-07T14:31:37.283708 update_cores memcached [0,1]
2026-05-07T14:31:37.336882 update_cores freqmine [2,3]
2026-05-07T14:31:37.741609 update_cores memcached [0]
2026-05-07T14:31:37.832073 update_cores freqmine [1,2,3]
2026-05-07T14:31:54.423196 update_cores memcached [0,1]
2026-05-07T14:31:54.535609 update_cores freqmine [2,3]
2026-05-07T14:31:54.940926 update_cores memcached [0,1,2]
2026-05-07T14:31:55.023777 update_cores freqmine [3]
2026-05-07T14:32:24.510912 update_cores memcached [0,1]
2026-05-07T14:32:24.574255 update_cores freqmine [2,3]
2026-05-07T14:32:54.471102 update_cores memcached [0]
2026-05-07T14:32:54.536587 update_cores freqmine [1,2,3]
2026-05-07T14:32:58.670219 end freqmine
2026-05-07T14:32:58.670297 custom freqmine elapsed%3D342.8s
2026-05-07T14:32:59.113532 start blackscholes [1,2] 2
2026-05-07T14:32:59.852506 start canneal [3] 1
2026-05-07T14:33:03.499313 update_cores memcached [0,1]
2026-05-07T14:33:03.564920 update_cores blackscholes [2,3]
2026-05-07T14:33:03.588216 pause canneal
2026-05-07T14:33:04.800585 update_cores memcached [0]
2026-05-07T14:33:04.849463 update_cores blackscholes [1,2]
2026-05-07T14:33:04.851356 unpause canneal
2026-05-07T14:33:04.922173 update_cores canneal [3]
2026-05-07T14:33:06.947748 update_cores memcached [0,1]
2026-05-07T14:33:07.008104 update_cores blackscholes [2,3]
2026-05-07T14:33:07.030009 pause canneal
2026-05-07T14:33:08.242068 update_cores memcached [0]
2026-05-07T14:33:08.284679 update_cores blackscholes [1,2]
2026-05-07T14:33:08.286623 unpause canneal
2026-05-07T14:33:08.363187 update_cores canneal [3]
2026-05-07T14:33:09.583704 update_cores memcached [0,1]
2026-05-07T14:33:09.674614 update_cores blackscholes [2,3]
2026-05-07T14:33:09.711592 pause canneal
2026-05-07T14:33:10.115991 update_cores memcached [0,1,2]
2026-05-07T14:33:10.174450 update_cores blackscholes [3]
2026-05-07T14:33:40.572834 update_cores memcached [0,1]
2026-05-07T14:33:40.627594 update_cores blackscholes [2,3]
2026-05-07T14:34:09.036644 update_cores memcached [0,1,2]
2026-05-07T14:34:09.133984 update_cores blackscholes [3]
2026-05-07T14:34:24.168669 update_cores memcached [0,1]
2026-05-07T14:34:24.208637 update_cores blackscholes [2,3]
2026-05-07T14:34:24.613577 update_cores memcached [0]
2026-05-07T14:34:26.278433 end blackscholes
2026-05-07T14:34:26.278467 custom blackscholes elapsed%3D87.2s
2026-05-07T14:34:26.279964 unpause canneal
2026-05-07T14:34:26.333130 update_cores canneal [1]
2026-05-07T14:34:26.546304 start barnes [2,3] 2
2026-05-07T14:35:10.073931 update_cores memcached [0,1]
2026-05-07T14:35:10.156454 update_cores canneal [2]
2026-05-07T14:35:10.240129 update_cores barnes [3]
2026-05-07T14:35:10.644636 update_cores memcached [0,1,2]
2026-05-07T14:35:10.702504 update_cores canneal [3]
2026-05-07T14:35:10.735671 pause barnes
2026-05-07T14:35:12.355648 update_cores memcached [0,1]
2026-05-07T14:35:12.414630 update_cores canneal [2]
2026-05-07T14:35:12.417336 unpause barnes
2026-05-07T14:35:12.502549 update_cores barnes [3]
2026-05-07T14:35:12.907608 update_cores memcached [0]
2026-05-07T14:35:12.999401 update_cores canneal [1]
2026-05-07T14:35:13.063988 update_cores barnes [2,3]
2026-05-07T14:35:14.283760 update_cores memcached [0,1]
2026-05-07T14:35:14.380167 update_cores canneal [2]
2026-05-07T14:35:14.450976 update_cores barnes [3]
2026-05-07T14:35:14.855516 update_cores memcached [0,1,2]
2026-05-07T14:35:14.914309 update_cores canneal [3]
2026-05-07T14:35:14.945829 pause barnes
2026-05-07T14:35:16.563675 update_cores memcached [0,1]
2026-05-07T14:35:16.618204 update_cores canneal [2]
2026-05-07T14:35:16.620590 unpause barnes
2026-05-07T14:35:16.701746 update_cores barnes [3]
2026-05-07T14:35:17.106937 update_cores memcached [0]
2026-05-07T14:35:17.194390 update_cores canneal [1]
2026-05-07T14:35:17.253069 update_cores barnes [2,3]
2026-05-07T14:35:18.472137 update_cores memcached [0,1]
2026-05-07T14:35:18.587402 update_cores canneal [2]
2026-05-07T14:35:18.652960 update_cores barnes [3]
2026-05-07T14:35:19.058133 update_cores memcached [0,1,2]
2026-05-07T14:35:19.118188 update_cores canneal [3]
2026-05-07T14:35:19.138687 pause barnes
2026-05-07T14:35:20.756903 update_cores memcached [0,1]
2026-05-07T14:35:20.815570 update_cores canneal [2]
2026-05-07T14:35:20.818095 unpause barnes
2026-05-07T14:35:20.896998 update_cores barnes [3]
2026-05-07T14:35:21.301070 update_cores memcached [0]
2026-05-07T14:35:21.372915 update_cores canneal [1]
2026-05-07T14:35:21.432858 update_cores barnes [2,3]
2026-05-07T14:35:22.653072 update_cores memcached [0,1]
2026-05-07T14:35:22.766453 update_cores canneal [2]
2026-05-07T14:35:22.852422 update_cores barnes [3]
2026-05-07T14:35:23.256046 update_cores memcached [0,1,2]
2026-05-07T14:35:23.319168 update_cores canneal [3]
2026-05-07T14:35:23.350299 pause barnes
2026-05-07T14:35:24.561262 update_cores memcached [0,1]
2026-05-07T14:35:24.605166 update_cores canneal [2]
2026-05-07T14:35:24.606962 unpause barnes
2026-05-07T14:35:24.670402 update_cores barnes [3]
2026-05-07T14:35:25.074530 update_cores memcached [0]
