Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      266.9   189.4    74.4   113.1   125.0   235.3   292.5   324.0   349.6   384.0   431.4   510.8   799.5  2355.6  4701.1  62456.2    62645
read      250.5   142.8    80.4   130.2   148.5   238.8   273.9   292.8   306.3   320.8   342.0   374.0   515.5  1817.3  6127.5  15576.4    15539
read      281.7   352.6    74.4   121.3   136.2   237.3   287.0   314.4   335.3   361.9   399.9   480.1   844.3  6186.9  8036.6 107376.0   107672
read      294.5   202.4    74.4   120.7   137.6   270.3   327.2   361.1   385.5   413.4   449.1   504.5   711.6  2865.5  6841.6  33056.0    32954
read      291.8   245.5    74.4   115.8   129.1   248.6   307.1   342.8   372.9   415.9   478.1   589.1  1060.1  2958.8  7448.4  58833.8    58866
read      277.6   155.0    74.4   124.4   142.4   263.9   311.3   336.7   354.9   375.4   401.8   445.9   622.5  1910.2  3460.4  23874.6    23739
read      281.3   248.1    74.4   115.6   128.7   246.3   301.3   333.6   360.1   394.6   443.5   529.7   897.1  3450.9  7730.2  54694.8    54701
read      261.3   141.5    74.4   113.5   125.6   238.7   294.3   325.6   350.8   383.9   427.6   497.2   655.8  1327.8  3168.3  60534.4    60706
read      256.7   309.6    74.4   116.9   129.9   228.5   280.3   306.2   323.8   345.2   373.9   428.3   641.8  4771.0 14364.6  72362.4    72350
read      295.4   283.2    74.4   115.4   128.6   248.5   307.8   343.9   374.7   419.0   484.6   595.9  1067.5  4467.5  7862.5  58726.6    58661
read      305.9   252.2    74.4   118.0   134.5   276.2   339.4   374.0   398.4   426.8   464.0   525.0   870.3  3814.2  7613.7  34865.2    34912
read      290.9   442.3    74.4   120.3   135.1   236.9   288.2   316.4   338.3   365.7   404.3   487.4   861.8  6756.9  9154.8 103118.0   103268
read      303.1   199.0    68.9   117.0   133.1   275.9   342.8   380.5   407.2   437.9   479.1   540.1   784.8  2480.2  4298.8  38605.2    38703
read      272.1   371.3    74.4   115.8   128.8   225.9   278.2   305.7   325.1   348.9   384.0   457.0   917.2  6426.0  8099.4  83261.6    83358
read      268.3   172.6    74.4   113.5   125.8   240.1   296.3   329.1   355.5   390.5   438.1   518.2   733.8  2131.6  4040.6  57543.2    57408
read      248.6   214.7    74.4   116.2   129.1   222.6   273.0   299.0   317.6   339.9   369.0   420.8   614.0  3486.9  7234.9  86795.2    86837
read      297.3   208.6    74.4   119.5   136.1   271.1   330.1   364.1   388.4   416.5   453.2   509.5   857.4  2871.7  7113.5  33573.6    33517
read      278.0   218.3    74.4   114.9   127.7   238.4   297.6   332.8   361.5   400.5   459.9   553.7   904.2  3002.2  6069.9  65985.0    66204
read      263.2   223.6    74.4   117.9   130.7   230.3   283.5   311.1   331.0   355.2   390.9   471.6   887.4  2875.3  8043.9  73900.4    73758
read      247.8   135.3    74.4   120.6   134.4   228.6   276.7   302.5   320.5   343.3   373.3   425.7   579.2  1352.4  3951.5  99573.4    99742
read      256.2   149.9    74.4   123.3   138.3   235.3   283.0   309.2   328.4   352.4   386.3   444.6   621.2  1808.2  3352.2 109502.0   109462
read      240.8   117.3    74.4   118.6   131.7   223.6   272.1   297.6   315.8   337.4   365.5   411.0   539.7  1114.6  3078.5  94669.0    94453
read      303.6   268.6    74.4   119.6   135.3   270.9   332.2   368.8   396.6   429.4   471.2   540.9   786.6  3915.3  8002.5  44138.6    44096
read      281.3   407.7    74.4   121.8   136.5   236.8   286.3   313.7   334.3   360.4   397.9   470.4   783.5  6638.3 12458.3 100507.2   100467
read      230.8   101.7    86.8   144.8   163.0   221.3   243.9   256.2   266.3   277.1   293.2   319.4   454.1  1541.9  3202.2   8500.6     8576
read      275.4   221.8    74.4   117.6   130.7   244.5   300.2   331.8   356.6   389.7   435.8   516.8   773.2  2878.3  7848.5  59212.2    59359
read      226.2   265.0    80.4   143.3   159.9   215.6   236.8   249.7   258.8   270.0   285.3   310.5   399.5  1405.0  8908.1   7664.8     7614
read      368.9   643.5    74.4   118.3   132.0   251.8   312.5   350.9   385.5   434.0   511.5   688.5  3672.0  7824.5 12171.9  59989.2    60329
read      287.1   283.2    74.4   118.7   132.2   250.6   302.6   334.0   358.4   389.0   430.2   505.9  1034.9  4185.8  8056.9  43824.8    43762
read      361.9   640.7    74.4   117.7   130.8   245.3   308.1   346.7   381.9   430.7   504.9   661.0  3726.8  7957.4 12124.8  66882.0    67038
read      285.7   206.3    80.4   124.4   141.7   259.4   307.8   335.8   356.7   381.9   414.6   469.6   958.9  2772.5  7112.4  26148.2    26095
read      355.0   687.7    74.4   115.8   128.8   239.9   302.8   342.6   375.9   423.6   491.9   616.2  4438.4  8135.9 11435.7  70905.0    71173
